lfc,names,ambiguousNames
SPDX,"[""CC-BY-ND-2.5"",""Creative Commons Attribution No Derivatives 2.5 Generic""]",[]
SPDX,"[""CC-BY-ND-3.0"",""Creative Commons Attribution No Derivatives 3.0 Unported""]",[]
SPDX,"[""CC-BY-ND-4.0"",""Creative Commons Attribution No Derivatives 4.0 International""]",[]
SPDX,"[""CC-BY-SA-1.0"",""Creative Commons Attribution Share Alike 1.0 Generic""]",[]
SPDX,"[""CC-BY-SA-2.0"",""Creative Commons Attribution Share Alike 2.0 Generic""]",[]
SPDX,"[""CC-BY-SA-2.0-UK"",""Creative Commons Attribution Share Alike 2.0 England and Wales""]",[]
SPDX,"[""CC-BY-SA-2.5"",""Creative Commons Attribution Share Alike 2.5 Generic""]",[]
SPDX,"[""CC-BY-SA-3.0"",""Creative Commons Attribution Share Alike 3.0 Unported""]",[]
SPDX,"[""CC-BY-SA-3.0-AT"",""Creative Commons Attribution-Share Alike 3.0 Austria""]",[]
SPDX,"[""CC-BY-SA-4.0"",""Creative Commons Attribution Share Alike 4.0 International""]",[]
SPDX,"[""CC-PDDC"",""Creative Commons Public Domain Dedication and Certification""]",[]
SPDX,"[""CC0-1.0"",""Creative Commons Zero v1.0 Universal""]",[]
SPDX,"[""CDDL-1.0"",""Common Development and Distribution License 1.0""]",[]
SPDX,"[""CDDL-1.1"",""Common Development and Distribution License 1.1""]",[]
SPDX,"[""CDLA-Permissive-1.0"",""Community Data License Agreement Permissive 1.0""]",[]
SPDX,"[""CDLA-Sharing-1.0"",""Community Data License Agreement Sharing 1.0""]",[]
SPDX,"[""CECILL-1.0"",""CeCILL Free Software License Agreement v1.0""]",[]
SPDX,"[""CECILL-1.1"",""CeCILL Free Software License Agreement v1.1""]",[]
SPDX,"[""CECILL-2.0"",""CeCILL Free Software License Agreement v2.0""]",[]
SPDX,"[""CECILL-2.1"",""CeCILL Free Software License Agreement v2.1""]",[]
SPDX,"[""CECILL-B"",""CeCILL-B Free Software License Agreement""]",[]
SPDX,"[""CECILL-C"",""CeCILL-C Free Software License Agreement""]",[]
SPDX,"[""CERN-OHL-1.1"",""CERN Open Hardware Licence v1.1""]",[]
SPDX,"[""CERN-OHL-1.2"",""CERN Open Hardware Licence v1.2""]",[]
SPDX,"[""CERN-OHL-P-2.0"",""CERN Open Hardware Licence Version 2 - Permissive""]",[]
SPDX,"[""CERN-OHL-S-2.0"",""CERN Open Hardware Licence Version 2 - Strongly Reciprocal""]",[]
SPDX,"[""CERN-OHL-W-2.0"",""CERN Open Hardware Licence Version 2 - Weakly Reciprocal""]",[]
SPDX,"[""CNRI-Jython"",""CNRI Jython License""]",[]
SPDX,"[""CNRI-Python"",""CNRI Python License""]",[]
SPDX,"[""CNRI-Python-GPL-Compatible"",""CNRI Python Open Source GPL Compatible License Agreement""]",[]
SPDX,"[""CPAL-1.0"",""Common Public Attribution License 1.0""]",[]
SPDX,"[""CPL-1.0"",""Common Public License 1.0""]",[]
SPDX,"[""CPOL-1.02"",""Code Project Open License 1.02""]",[]
SPDX,"[""CUA-OPL-1.0"",""CUA Office Public License v1.0""]",[]
SPDX,"[""Caldera"",""Caldera License""]",[]
SPDX,"[""ClArtistic"",""Clarified Artistic License""]",[]
SPDX,"[""Condor-1.1"",""Condor Public License v1.1""]",[]
SPDX,"[""Crossword"",""Crossword License""]",[]
SPDX,"[""CrystalStacker"",""CrystalStacker License""]",[]
SPDX,"[""Cube"",""Cube License""]",[]
SPDX,"[""D-FSL-1.0"",""Deutsche Freie Software Lizenz""]",[]
SPDX,"[""DOC"",""DOC License""]",[]
SPDX,"[""DSDP"",""DSDP License""]",[]
SPDX,"[""Dotseqn"",""Dotseqn License""]",[]
SPDX,"[""ECL-1.0"",""Educational Community License v1.0""]",[]
SPDX,"[""ECL-2.0"",""Educational Community License v2.0""]",[]
SPDX,"[""EFL-1.0"",""Eiffel Forum License v1.0""]",[]
SPDX,"[""EFL-2.0"",""Eiffel Forum License v2.0""]",[]
SPDX,"[""EPICS"",""EPICS Open License""]",[]
SPDX,"[""EPL-1.0"",""Eclipse Public License 1.0""]",[]
SPDX,"[""EPL-2.0"",""Eclipse Public License 2.0""]",[]
SPDX,"[""EUDatagrid"",""EU DataGrid Software License""]",[]
SPDX,"[""EUPL-1.0"",""European Union Public License 1.0""]",[]
