,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HPND-sell","HPND-sell-variant","X11-Style (Keith Packard)","scancode:x11-keith-packard","scancode://x11-keith-packard","Permission Terms (HPND; sell)","scancode:historical-sell-variant","scancode://historical-sell-variant","Historical Permission Notice and Disclaimer - sell variant",,,,,,,,,,,,,,,,,,,,,,,
"Clear BSD","Clear BSD License","BSD-3-Clause-Clear","bsd-3-clause-clear","scancode:clear-bsd","scancode://clear-bsd","BSD 3-Clause Clear License","BSD-3-Clause-Clear-copyright-variant","BSD 3-Clause Clear License (copyright variant)",,,,,,,,,,,,,,,,,,,,,,,
"GPL1+","GPL1.0+","GPL-1.0+","GPL 1.0 or later","GPL-1.0-or-later","scancode:gpl-1.0-plus","scancode://gpl-1.0-plus","GNU General Public License v1.0 or later","GNU General Public License 1.0 (or any later version)",,,,,,,,,,,,,,,,,,,,,,,
"LPL 1.0","LPL-1.0","osi:LPL-1.0","scancode:lucent-pl-1.0","scancode://lucent-pl-1.0","Lucent Public License 1.0","Lucent Public License Version 1.0","Lucent Public License (""Plan9"") 1.0","Lucent Public License, Plan 9, Version 1.0",,,,,,,,,,,,,,,,,,,,,,,
"MIT-0","mit-0","MIT-0-Clause","scancode:ekioh","scancode:pd-mit","scancode://mit-0","MIT No Attribution","scancode:tigra-calendar-4.0","MIT License (no attribution)",,,,,,,,,,,,,,,,,,,,,,,
"EFL 2.0","EFL-2.0","osi:EFL-2.0","scancode:efl-2.0","scancode://efl-2.0","Eiffel Forum License 2.0","Eiffel Forum License v2.0","Eiffel Forum License, Version 2","License :: OSI Approved :: Eiffel Forum License",,,,,,,,,,,,,,,,,,,,,,,
"apl1.0","APL 1.0","APL-1.0","osi:APL-1.0","scancode:adapt-1.0","scancode://adapt-1.0","Adaptice Public License 1.0","Adaptive Public License 1.0","Adaptive Public License, Version 1.0",,,,,,,,,,,,,,,,,,,,,,,
"NTP","osi:NTP","NTP License","scancode:ntpl","scancode://ntpl","NTP License (NTP)","MIT Old Style no advertising","scancode:network-time-protocol","scancode://mit-old-style-no-advert",,,,,,,,,,,,,,,,,,,,,,,
"CC0 1.0","CC0-1.0","cc0-1.0","scancode:cc0-1.0","CC0 Universal 1.0","scancode://cc0-1.0","Creative Commons Zero 1.0","Creative Commons CC0 1.0 Universal","Creative Commons Zero v1.0 Universal",,,,,,,,,,,,,,,,,,,,,,,
"CUA OPL 1.0","CUA-OPL-1.0","osi:CUA-OPL-1.0","scancode:cua-opl-1.0","scancode://cua-opl-1.0","CUA Office Public License","CUA Office Public License 1.0","CUA Office Public License v1.0",,,,,,,,,,,,,,,,,,,,,,,,
"IPA","osi:IPA","IPA License","IPA Font License","scancode:ipa-font","scancode://ipa-font","IPA Font License 1.0","IPA Font License Agreement v1.0",,,,,,,,,,,,,,,,,,,,,,,,
"EFL 1.0","EFL-1.0","osi:EFL-1.0","scancode:efl-1.0","scancode://efl-1.0","Eiffel Forum License 1.0","Eiffel Forum License v1.0","The Eiffel Forum License, Version 1",,,,,,,,,,,,,,,,,,,,,,,,
"GFDL 1.2","GFDL-1.2","GFDL-1.2-only","scancode:gfdl-1.2","scancode://gfdl-1.2","GNU Free Documentation License 1.2","GNU Free Documentation License v1.2 only","GNU Free Documentation License Version 1.2",,,,,,,,,,,,,,,,,,,,,,,,
"GFDL 1.1","GFDL-1.1","GFDL-1.1-only","scancode:gfdl-1.1","scancode://gfdl-1.1","GNU Free Documentation License 1.1","GNU Free Documentation License v1.1 only","GNU Free Documentation License Version 1.1",,,,,,,,,,,,,,,,,,,,,,,,
"Watcom-1.0","osi:Watcom-1.0","Open Watcom 1.0","scancode:sybase","scancode://sybase","Watcom License 1.0","The Sybase Open Source Licence","Sybase Open Watcom Public License 1.0",,,,,,,,,,,,,,,,,,,,,,,,
"RSCPL","osi:RSCPL","scancode:ricoh-1.0","scancode://ricoh-1.0","Ricoh Source Code Public License","Ricoh Source Code Public License 1.0","The Ricoh Source Code Public License","License :: OSI Approved :: Ricoh Source Code Public License",,,,,,,,,,,,,,,,,,,,,,,,
"CECILL-C","CeCILL-C-FSL","CECILL C License","CeCILL-C License","scancode:cecill-c","scancode://cecill-c","CeCILL-C Free Software License (FRA)","CeCILL-C Free Software License Agreement",,,,,,,,,,,,,,,,,,,,,,,,
"AGPL 1.0","AGPL-1.0","AGPL-1.0-only","scancode:agpl-1.0","scancode://agpl-1.0","Affero General Public License 1.0","Affero General Public License (v. 1)","Affero General Public License v1.0 only",,,,,,,,,,,,,,,,,,,,,,,,
"Nokia","osi:nokia","NOKOS License 1.0a","scancode:nokos-1.0a","scancode://nokos-1.0a","Nokia Open Source License","Nokia Open Source License, Version 1.0a","License :: OSI Approved :: Nokia Open Source License",,,,,,,,,,,,,,,,,,,,,,,,
"APSL 2.0","APSL-2.0","osi:APSL-2.0","scancode:apsl-2.0","scancode://apsl-2.0","Apple Public Source License 2.0","Apple Public Source License, Version 2.0","License :: OSI Approved :: Apple Public Source License",,,,,,,,,,,,,,,,,,,,,,,,
"PHP-3.0","osi:PHP-3.0","PHP License 3.0","PHP License v3.0","scancode:php-3.0","scancode://php-3.0","PHP License, version 3.0","The PHP License, Version 3.0",,,,,,,,,,,,,,,,,,,,,,,,
"GFDL 1.3","GFDL-1.3","GFDL-1.3-only","scancode:gfdl-1.3","scancode://gfdl-1.3","GNU Free Documentation License 1.3","GNU Free Documentation License v1.3 only","GNU Free Documentation License Version 1.3",,,,,,,,,,,,,,,,,,,,,,,,
"bzip2-1.0.6","The bzip2 license","bzip2 License 2010","bzip2 License 1.0.6","scancode:bzip2-libbzip-2010","scancode:bzip2-libbzip-1.0.5","scancode://bzip2-libbzip-2010","bzip2 and libbzip2 License v1.0.6",,,,,,,,,,,,,,,,,,,,,,,,
"OSL 3.0","OSL-3.0","osl-3.0","osi:OSL-3.0","scancode:osl-3.0","scancode://osl-3.0","Open Software License 3.0","Open Software License, Version 3.0",,,,,,,,,,,,,,,,,,,,,,,,
"Motosoto","osi:Motosoto","Motosoto 0.9.1","Motosoto License","scancode:motosoto-0.9.1","scancode://motosoto-0.9.1","License :: OSI Approved :: Motosoto License","Motosoto Open Source License, Version 0.9.1",,,,,,,,,,,,,,,,,,,,,,,,
"EUPL 1.2","EUPL-1.2","eupl-1.2","osi:EUPL-1.2","scancode:eupl-1.2","scancode://eupl-1.2","European Union Public Licence 1.2","European Union Public License 1.2",,,,,,,,,,,,,,,,,,,,,,,,
"SMLNJ","CUP-PGL","SMLNJ License","scancode:standard-ml-nj","Standard ML of New Jersey","scancode://standard-ml-nj","CUP Parser Generator License","Standard ML of New Jersey License",,,,,,,,,,,,,,,,,,,,,,,,
"CECILL-B","CeCILL-B-FSL","CECILL B License","CeCILL-B License","scancode:cecill-b","scancode://cecill-b","CeCILL-B Free Software License (FRA)","CeCILL-B Free Software License Agreement",,,,,,,,,,,,,,,,,,,,,,,,
"Frameworx 1.0","Frameworx-1.0","osi:Frameworx-1.0","Frameworx License 1.0","scancode:frameworx-1.0","scancode://frameworx-1.0","Frameworx Open License 1.0","Frameworx License, Version 1.0",,,,,,,,,,,,,,,,,,,,,,,,
"ODbL","ODbL 1.0","ODbL-1.0","odbl-1.0","scancode:odbl-1.0","scancode://odbl-1.0","Open Data Commons Open Database License 1.0","Open Data Commons Open Database License v1.0",,,,,,,,,,,,,,,,,,,,,,,,
"oclc2","OCLC-2.0","osi:OCLC-2.0","OCLC License 2.0","scancode:oclc-2.0","scancode://oclc-2.0","OCLC Research Public License 2.0","The OCLC Research Public License, Version 2.0",,,,,,,,,,,,,,,,,,,,,,,,
"MirOS","osi:MirOS","MirOS Licence","MirOS License","scancode:mir-os","The MirOS Licence","scancode://mir-os","The MirOS Licence (MirOS)",,,,,,,,,,,,,,,,,,,,,,,,
"CC-BY 4.0","CC-BY-4.0","cc-by-4.0","scancode:cc-by-4.0","scancode://cc-by-4.0","Creative Commons BY 4.0","Creative Commons Attribution 4.0","Creative Commons Attribution 4.0 International",,,,,,,,,,,,,,,,,,,,,,,,
"LPL 1.02","LPL-1.02","osi:LPL-1.02","scancode:lucent-pl-1.02","scancode://lucent-pl-1.02","Lucent Public License 1.02","Lucent Public License v1.02","Lucent Public License, Version 1.02",,,,,,,,,,,,,,,,,,,,,,,,
"ECL 1.0","ECL-1.0","osi:ECL-1.0","scancode:ecl-1.0","scancode://ecl-1.0","Educational Community License 1.0","Educational Community License v1.0","Educational Community License, Version 1.0",,,,,,,,,,,,,,,,,,,,,,,,
"MS-PL","Ms-PL","ms-pl","osi:MS-PL","scancode:ms-pl","scancode://ms-pl","Microsoft Public License","Microsoft Public License (MS-PL)",,,,,,,,,,,,,,,,,,,,,,,,
"CC-BY-SA-1.0","scancode:cc-by-sa-1.0","scancode://cc-by-sa-1.0","Creative Commons BY-SA 1.0","Creative Commons ShareAlike 1.0 Generic","Creative Commons Attribution-ShareAlike 1.0 Generic","Creative Commons Attribution Share Alike 1.0 Generic",,,,,,,,,,,,,,,,,,,,,,,,,
"BitTorrent 1.1","BitTorrent-1.1","BitTorrent License 1.1","scancode:bittorrent-1.1","scancode://bittorrent-1.1","BitTorrent Open Source License 1.1","BitTorrent Open Source License v1.1",,,,,,,,,,,,,,,,,,,,,,,,,
