,,,,,,,,,,,,,,,,,,,,,,,,
"ibmpl","IPL 1.0","IPL-1.0","scancode://ibmpl-1.0","IBM Public License 1.0","IBM Public License v1.0","IBM Public License, Version 1.0","License :: OSI Approved :: IBM Public License",,,,,,,,,,,,,,,,,
"MPL 1.1","MPL-1.1","mozilla1.1","scancode://mpl-1.1","Mozilla Public License 1.1","Mozilla Public License Version 1.1","Mozilla Public License, Version 1.1","License :: OSI Approved :: Mozilla Public License 1.1 (MPL 1.1)",,,,,,,,,,,,,,,,,
"OFL 1.1","OFL-1.1","ofl-1.1","scancode://ofl-1.1","Open Font License 1.1","SIL Open Font License 1.1","SIL Open Font License, Version 1.1","SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007",,,,,,,,,,,,,,,,,
"SISSL","sun-issl","scancode://sun-sissl-1.1","Sun Industry Standards Source License","Sun Industry Standards Source License 1.1","Sun Industry Standards Source License v1.1","Sun Industry Standards Source License Version 1.1","License :: OSI Approved :: Sun Industry Standards Source License (SISSL)",,,,,,,,,,,,,,,,,
"AGPL 1.0","AGPL-1.0","AGPL-1.0-only","scancode://agpl-1.0","Affero General Public License 1.0","Affero General Public License (v. 1)","Affero General Public License v1.0 only",,,,,,,,,,,,,,,,,,
"GPL1+","GPL1.0+","GPL-1.0+","GPL 1.0 or later","GPL-1.0-or-later","scancode://gpl-1.0-plus","GNU General Public License v1.0 or later",,,,,,,,,,,,,,,,,,
"LGPL2.1+","LGPL-2.1+","LGPL 2.1 or later","LGPL-2.1-or-later","LGPL (v2.1 or later)","scancode://lgpl-2.1-plus","GNU Lesser General Public License v2.1 or later",,,,,,,,,,,,,,,,,,
"Sleepycat","Sleepycat License","scancode://sleepycat","The Sleepycat License","Berkeley Database License","Sleepycat Software Product License","License :: OSI Approved :: Sleepycat License",,,,,,,,,,,,,,,,,,
"Artistic 1.0","Artistic-1.0","Artistic License 1.0","Artistic 1.0 (original)","scancode://artistic-1.0","Artistic License (Perl) 1.0","Artistic License, Version 1.0",,,,,,,,,,,,,,,,,,
"UPL","UPL 1.0","UPL-1.0","upl-1.0","scancode://upl-1.0","Universal Permissive License v1.0","The Universal Permissive License (UPL), Version 1.0",,,,,,,,,,,,,,,,,,
"CC0 1.0","CC0-1.0","cc0-1.0","scancode://cc0-1.0","Creative Commons Zero 1.0","Creative Commons CC0 1.0 Universal","Creative Commons Zero v1.0 Universal",,,,,,,,,,,,,,,,,,
