Squeak License	LicenseRef-squeak	http://squeak.org/SqueakLicense/  https://enterprise.dejacode.com/licenses/public/squeak/?_list_filters=q%3Dsqueak#license-text		link broken
SystemC Open Source License	LicenseRef-SystemC-3.0	http://www.systemc.org/about/org_docs/license/  http://web.archive.org/web/20111128143257/http://www.systemc.org/about/org_docs/license/		link broken, last time this page was recorded was before Accellera acquisition. DejaCode has 3.3. and mentions Accellera - might be the same as 3.0, didn't check
Sun Binary Code License Agreement	LicenseRef-SunBCL	https://fedoraproject.org/wiki/Licensing/Sun_Binary_Code_License_Agreement	Non-free, unless resolved with Supplemental License Terms	DejaCode has many variants of this, but none seemed to match this, so using a generic identifier
Sun Community Source License	LicenseRef-SCSL	http://www.sun.com/software/communitysource/		sounds familiar but link broken - DejaCode has https://enterprise.dejacode.com/licenses/public/scsl-3.0/?_list_filters=q%3Dsun%2Bcommunity#essentials  webarchive didn't help - going with generic id 
Sun RPC License	LicenseRef-sun-rpc	https://fedoraproject.org/wiki/Licensing/SunRPC	Restrictions on modification, distribution	
Sun Solaris Source Code (Foundation Release) License	LicenseRef-sun-ssscfr-1.1	http://www.mibsoftware.com/librock/librock/license/ssscfr.txt		
Sybase Open Watcom Public License 1.0	Watcom-1.0	http://opensource.org/licenses/sybase.php		
Terracotta Public License 1.0	LicenseRef-tpl-1.0	http://svn.terracotta.org/svn/ehcache/tags/ehcache-2.9.0/distribution/src/main/assembly/root/licenses/EHCACHE-TERRACOTTA-LICENSE.txt	Attribution requirements are burdensome, unclear, and potentially impossible to comply with (Section 14)	
TORQUE v2.5+ Software License v1.0			Commercial use restriction	no link at all. DejaCode has v1.1 - same for SPDX. v1.1 is "good" license. I'd say just remove this, as it's probably really old and who knows what the license text is
University of Utah Public License	LicenseRef-uofu-rfpl	http://www.cs.utah.edu/~gk/teem/txt/LICENSE.txt  https://enterprise.dejacode.com/licenses/public/uofu-rfpl/#license-text		link broken
University of Washington Free Fork License	LicenseRef-free-fork	https://fedoraproject.org/wiki/Licensing/UofWFreeFork	No longer used	
unrar license	LicenseRef-unrar	https://fedoraproject.org/wiki/Licensing/Unrar	Use restrictions, forced removal clause, see license page for details	
Yahoo Public License 1.0	YPL-1.0	http://www.zimbra.com/license/yahoo_public_license_1.0.html		
Zimbra Public License 1.3	Zimbra-1.3	http://www.zimbra.com/license/zimbra-public-license-1-3.html	Badgeware clause does not make allowances for modifications in which it is not technically possible to preserve a 'logo', we must assume this provision constitutes an undue burden on the right of modification.	
Open Directory License	LicenseRef-odl	http://dmoz.org/license.html  https://enterprise.dejacode.com/licenses/public/odl/#license-text		link broken
W3C Documentation License	LicenseRef-W3C-20150201	http://www.w3.org/Consortium/Legal/copyright-documents	Does not permit modification, different from W3C Software License	
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International	CC-BY-NC-ND-4.0	https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode		
Creative Commons Attribution-NonCommercial-NoDerivatives 3.0 Unported	CC-BY-NC-ND-3.0	https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode		
Creative Commons Attribution-NonCommercial-NoDerivatives 3.0 IGO	CC-BY-NC-ND-3.0-IGO                 	https://creativecommons.org/licenses/by-nc-nd/3.0/igo/legalcode		
Creative Commons Attribution-NonCommercial-NoDerivatives 3.0 Germany	CC-BY-NC-ND-3.0-DE                                	https://creativecommons.org/licenses/by-nc-nd/3.0/de/legalcode		
Creative Commons Attribution-NonCommercial-NoDerivatives 2.5 Generic	CC-BY-NC-ND-2.5                	https://creativecommons.org/licenses/by-nc-nd/2.5/legalcode		
Creative Commons Attribution-NonCommercial-NoDerivatives 2.0 Generic	CC-BY-NC-ND-2.0                	https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode		
Creative Commons Attribution-NonCommercial-NoDerivatives 1.0 Generic	CC-BY-NC-ND-1.0                 	https://creativecommons.org/licenses/by-nd-nc/1.0/legalcode		
Creative Commons Attribution-NonCommercial 1.0 Generic	CC-BY-NC-1.0  	https://creativecommons.org/licenses/by-nc/1.0/legalcode		
Creative Commons Attribution-NonCommercial 2.0 Generic	CC-BY-NC-2.0 	https://creativecommons.org/licenses/by-nc/2.0/legalcode		
Creative Commons Attribution-NonCommercial 2.5 Generic	CC-BY-NC-2.5	https://creativecommons.org/licenses/by-nc/2.5/legalcode		
Creative Commons Attribution-NonCommercial 3.0 Unported	CC-BY-NC-3.0	https://creativecommons.org/licenses/by-nc/3.0/legalcode		
Creative Commons Attribution-NonCommercial 3.0 Germany	CC-BY-NC-3.0-DE	https://creativecommons.org/licenses/by-nc/3.0/de/legalcode		
Creative Commons Attribution-NonCommercial 4.0 International	CC-BY-NC-4.0	https://creativecommons.org/licenses/by-nc/4.0/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 1.0 Generic	CC-BY-NC-SA-1.0	https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode	
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 Generic	CC-BY-NC-SA-2.0	https://creativecommons.org/licenses/by-nc-sa/2.0/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 France	CC-BY-NC-SA-2.0-FR	https://creativecommons.org/licenses/by-nc-sa/2.0/fr/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 2.0 England and Wales	CC-BY-NC-SA-2.0-UK	https://creativecommons.org/licenses/by-nc-sa/2.0/uk/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 2.5 Generic	CC-BY-NC-SA-2.5	https://creativecommons.org/licenses/by-nc-sa/2.5/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported	CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Germany	CC-BY-NC-SA-3.0-DE	https://creativecommons.org/licenses/by-nc-sa/3.0/de/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 3.0 IGO	CC-BY-NC-SA-3.0-IGO 	https://creativecommons.org/licenses/by-nc-sa/3.0/igo/legalcode		
Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International	CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode		
Creative Commons Sampling Plus 1.0	LicenseRef-cc-nc-sampling-plus-1.0	http://creativecommons.org/licenses/sampling+/1.0/legalcode		
LinuxTag Yellow OpenMusic License	LicenseRef-OpenMusic-yellow	http://openmusic.linuxtag.org/yellow.html	Commercial use restrictions	
Unsplash License	LicenseRef-unsplash	https://unsplash.com/license	Some use restrictions	
DIP SIPA Font License	LicenseRef-DIP-SIPA-font	https://fedoraproject.org/wiki/Licensing/DIP_SIPA_Font_License	Restrictions on modification	
Larabie Fonts License	LicenseRef-Larabie-font	https://fedoraproject.org/wiki/Licensing/LarabieFontsLicense	Cannot modify	
Literat Font License	LicenseRef-Literat-font	https://fedoraproject.org/wiki/Licensing/LiteratFontLicense	Cannot modify	
Ubuntu Font License	LicenseRef-ubuntu-font-1.0	https://fedoraproject.org/wiki/Licensing/UbuntuFontLicense	Poorly written, cannot actually use fonts	
